title,authors,venue,year,date,type,citations,paper_link
"大規模画像言語モデルを用いた領域埋め込みによる画像分類手法に関する一考察","櫻井洸介|石井達也|清水良太郎|宋林鑫|後藤正幸",JSAI 2024,2024,May 2024,domestic,0,
"不確実性が高い事象の確率的予測と解釈を可能とするGaussian-SAINTの提案","更家嘉介|磯村時将|清水良太郎|後藤正幸",JSAI 2024,2024,May 2024,domestic,0,
"A closer Look at Task Analogies: Insights from Function and Parameter Space","Kotaro Yoshida|Yuji Naraki|Takafumi Horie|Ryosuke Yamaki|Ryotaro Shimizu|Yuki Saito|Hiroki Naganuma",YANS 2024,2024,Sep 2024,domestic,0,
"継続的メール配信の影響を考慮したメール開封要因分析モデル","阪井優太|清水良太郎|後藤正幸",日本計算機統計学会シンポジウム,2024,Oct 2024,domestic,0,
"大規模言語モデルと拡散モデルの統合による表形式データ生成手法の提案","磯村時将|清水良太郎|後藤正幸",日本計算機統計学会シンポジウム,2024,Oct 2024,domestic,0,
"大規模ソースデータの選択的活用によるターゲットモデルの精度向上に関する研究","三好観悠|清水良太郎|宋林鑫|後藤正幸",日本計算機統計学会シンポジウム,2024,Oct 2024,domestic,0,
"Task arithmeticにおける重み分離のための正則化手法の提案","Kotaro Yoshida|Yuji Naraki|Ryosuke Yamaki|Takafumi Horie|Ryotaro Shimizu|Yuki Saito|Julian McAuley|Hiroki Naganuma",IBIS 2024,2024,Oct 2024,domestic,0,
"単独アノテーターにおける効率的なアノテーション方法の提案","岩井理紗|山下遥|清水良太郎",経営工学会,2024,Oct 2024,domestic,0,
"商品階層を自動構造化するトピックモデルの提案と小売販売データ分析への適用","藤田梓子|清水良太郎|後藤正幸",経営工学会,2024,Oct 2024,domestic,0,
"Synthetic Tabular Data Generation based on Integration of Large Language Models and Diffusion Techniques","Tokimasa Isomura|Ryotaro Shimizu|Masayuki Goto",APIEMS 2024,2024,Nov 2024,conference,0,
"Multi-Label Image Data Processing via Domain Adaptation","Kanyu Miyoshi|Ryotaro Shimizu|Linxin Song|Masayuki Goto",APIEMS 2024,2024,Nov 2024,conference,0,
"Gain Guided Selection Priority Data Augmentation Based on Regional Embedding with Vision-Language Model","Kosuke Sakurai|Ryotaro Shimizu|Masayuki Goto",CIE 2024,2024,Dec 2024,conference,0,
"Zero-Shot Explainable Time Series Forecasting based on Large Language Model","Takahiro Uemukai|Ryotaro Shimizu|Masayuki Goto",CIE 2024,2024,Dec 2024,conference,0,
"GAUSSIAN-SAINT: A Probabilistic Predictive Deep Learning Model for Uncertainties with Interpretation from Two Perspectives","Ryosuke Saraya|Tokimasa Isomura|Ryotaro Shimizu|Masayuki Goto",CIE 2024,2024,Dec 2024,conference,0,
